DEPARTURES_PERFORMED,SEATS,PASSENGERS,FREIGHT,MAIL,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_GROUP,AIRCRAFT_TYPE,YEAR,MONTH
1.00,0.00,0.00,0.00,0.00,U7,USA Jet Airlines Inc.,LRD,GDL,6,655,2024,1
1.00,0.00,0.00,0.00,0.00,U7,USA Jet Airlines Inc.,STL,SLW,6,655,2024,1
1.00,0.00,0.00,0.00,0.00,U7,USA Jet Airlines Inc.,YIP,QRO,6,655,2024,1
1.00,0.00,0.00,0.00,0.00,U7,USA Jet Airlines Inc.,YMX,CLE,6,655,2024,1
1.00,0.00,0.00,0.00,0.00,W8,Cargojet Airways Ltd.,MIA,BOG,6,622,2024,1
1.00,0.00,0.00,0.00,0.00,W8,Cargojet Airways Ltd.,MTY,CVG,6,625,2024,1
1.00,0.00,0.00,82.00,0.00,5Y,Atlas Air Inc.,PDX,CTU,8,821,2024,1
1.00,0.00,0.00,291.00,0.00,DL,Delta Air Lines Inc.,ATL,SAL,6,698,2024,1
1.00,0.00,0.00,412.00,0.00,U7,USA Jet Airlines Inc.,CUU,LRD,6,681,2024,1
1.00,0.00,0.00,441.00,0.00,5Y,Atlas Air Inc.,ORD,NLU,8,819,2024,1
1.00,0.00,0.00,546.00,0.00,U7,USA Jet Airlines Inc.,LRD,HMO,6,681,2024,1
1.00,0.00,0.00,581.00,0.00,U7,USA Jet Airlines Inc.,DAY,SLW,6,655,2024,1
1.00,0.00,0.00,616.00,0.00,WS,Westjet,LAX,YYC,6,614,2024,1
1.00,0.00,0.00,661.00,0.00,5Y,Atlas Air Inc.,ANC,SIN,8,819,2024,1
1.00,0.00,0.00,661.00,0.00,5Y,Atlas Air Inc.,MIA,LGG,8,819,2024,1
1.00,0.00,0.00,661.00,0.00,5Y,Atlas Air Inc.,NLU,MIA,8,819,2024,1
1.00,0.00,0.00,684.00,0.00,KE,Korean Air Lines Co. Ltd.,LAX,KKJ,6,683,2024,1
1.00,0.00,0.00,772.00,0.00,5Y,Atlas Air Inc.,ORD,BOG,8,819,2024,1
1.00,0.00,0.00,807.00,0.00,KD,Western Global,OST,RSW,7,740,2024,1
1.00,0.00,0.00,904.00,0.00,5Y,Atlas Air Inc.,SJU,BOG,6,625,2024,1
1.00,0.00,0.00,1000.00,0.00,M6,Amerijet International,RZE,DOV,6,626,2024,1
1.00,0.00,0.00,1683.00,0.00,AC,Air Canada,PHX,YYZ,6,626,2024,1
1.00,0.00,0.00,1979.00,0.00,FX,Federal Express Corporation,SJU,SKB,4,416,2024,1
1.00,0.00,0.00,2207.00,0.00,WS,Westjet,YYC,LAX,6,614,2024,1
1.00,0.00,0.00,2363.00,0.00,WI,Sky Lease Cargo,LAX,UIO,8,820,2024,1
1.00,0.00,0.00,2490.00,0.00,U7,USA Jet Airlines Inc.,GDL,LRD,6,655,2024,1
1.00,0.00,0.00,2497.00,0.00,U7,USA Jet Airlines Inc.,LRD,SLW,6,681,2024,1
1.00,0.00,0.00,2509.00,0.00,KD,Western Global,ANC,ICN,8,820,2024,1
1.00,0.00,0.00,2599.00,0.00,KD,Western Global,ANC,HKG,7,740,2024,1
1.00,0.00,0.00,2599.00,0.00,KD,Western Global,MCC,HKG,7,740,2024,1
1.00,0.00,0.00,2770.00,1212.00,M6,Amerijet International,BGI,MIA,6,626,2024,1
1.00,0.00,0.00,3029.00,0.00,KD,Western Global,OST,RSW,8,820,2024,1
1.00,0.00,0.00,3148.00,0.00,NC,Northern Air Cargo Inc.,PTY,MIA,6,626,2024,1
1.00,0.00,0.00,3440.00,0.00,FX,Federal Express Corporation,PTY,MIA,6,626,2024,1
1.00,0.00,0.00,3466.00,0.00,WI,Sky Lease Cargo,SEA,UIO,8,820,2024,1
1.00,0.00,0.00,3765.00,0.00,U7,USA Jet Airlines Inc.,GSP,SLW,6,655,2024,1
1.00,0.00,0.00,3800.00,0.00,GFQ,Gulf And Caribbean Cargo,MEM,YUL,7,715,2024,1
1.00,0.00,0.00,3930.00,0.00,AMQ,Ameristar Air Cargo,LRD,QRO,6,635,2024,1
1.00,0.00,0.00,3982.00,0.00,M6,Amerijet International,ANU,MIA,6,622,2024,1
1.00,0.00,0.00,4075.00,0.00,DL,Delta Air Lines Inc.,SAL,ATL,6,694,2024,1
1.00,0.00,0.00,4195.00,0.00,UA,United Air Lines Inc.,SFO,HKG,6,889,2024,1
1.00,0.00,0.00,4303.00,0.00,KD,Western Global,OST,LCK,8,820,2024,1
1.00,0.00,0.00,4361.00,0.00,KD,Western Global,OST,SHV,8,820,2024,1
1.00,0.00,0.00,4950.00,0.00,U7,USA Jet Airlines Inc.,YIP,BJX,6,655,2024,1
1.00,0.00,0.00,5000.00,0.00,M6,Amerijet International,SJU,CLO,6,626,2024,1
1.00,0.00,0.00,5040.00,0.00,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,TRC,LRD,6,655,2024,1
1.00,0.00,0.00,5276.00,0.00,FX,Federal Express Corporation,MIA,KIN,1,110,2024,1
1.00,0.00,0.00,5395.00,0.00,FX,Federal Express Corporation,BQN,CUR,1,110,2024,1
1.00,0.00,0.00,5500.00,0.00,CT,Air Atlanta Europe Limited,LGG,IAH,8,820,2024,1
1.00,0.00,0.00,5620.00,0.00,FX,Federal Express Corporation,NLU,MEM,6,683,2024,1
1.00,0.00,0.00,5855.00,0.00,U7,USA Jet Airlines Inc.,BUF,YMX,6,655,2024,1
1.00,0.00,0.00,6052.00,0.00,5Y,Atlas Air Inc.,LGG,ANC,8,819,2024,1
1.00,0.00,0.00,6336.00,0.00,W8,Cargojet Airways Ltd.,TOL,YHM,6,622,2024,1
1.00,0.00,0.00,7187.00,0.00,NC,Northern Air Cargo Inc.,SJU,PBM,6,626,2024,1
1.00,0.00,0.00,7656.00,0.00,W8,Cargojet Airways Ltd.,YEG,CVG,6,625,2024,1
1.00,0.00,0.00,7828.00,0.00,W8,Cargojet Airways Ltd.,YHM,TOL,6,622,2024,1
1.00,0.00,0.00,8020.00,0.00,U7,USA Jet Airlines Inc.,YIP,HMO,6,655,2024,1
1.00,0.00,0.00,8122.00,0.00,AMQ,Ameristar Air Cargo,MTY,LRD,6,635,2024,1
1.00,0.00,0.00,8500.00,0.00,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,LRD,SLW,6,655,2024,1
1.00,0.00,0.00,8785.00,0.00,DHQ,DHL Aero Expresso,PTY,MIA,6,622,2024,1
1.00,0.00,0.00,8950.00,0.00,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,LRD,QRO,6,655,2024,1
1.00,0.00,0.00,9400.00,0.00,L2,Lynden Air Cargo Airlines,ANC,YOC,5,556,2024,1
1.00,0.00,0.00,9896.00,0.00,KD,Western Global,SNN,SDF,8,820,2024,1
1.00,0.00,0.00,11107.00,0.00,DL,Delta Air Lines Inc.,AMS,ATL,6,339,2024,1
1.00,0.00,0.00,11475.00,0.00,5Y,Atlas Air Inc.,DFW,HKG,8,819,2024,1
1.00,0.00,0.00,11583.00,0.00,W8,Cargojet Airways Ltd.,YWG,CVG,6,625,2024,1
1.00,0.00,0.00,11682.00,0.00,M6,Amerijet International,POS,MIA,6,622,2024,1
1.00,0.00,0.00,11841.00,0.00,FX,Federal Express Corporation,BQN,GND,1,110,2024,1
1.00,0.00,0.00,12086.00,0.00,M6,Amerijet International,ANU,MIA,6,626,2024,1
1.00,0.00,0.00,12629.00,0.00,FX,Federal Express Corporation,YVR,RNO,6,626,2024,1
1.00,0.00,0.00,13743.00,0.00,KE,Korean Air Lines Co. Ltd.,ORD,YHZ,6,683,2024,1
1.00,0.00,0.00,14496.00,0.00,W8,Cargojet Airways Ltd.,MID,TOL,6,622,2024,1
1.00,0.00,0.00,14976.00,0.00,U7,USA Jet Airlines Inc.,QRO,LRD,6,655,2024,1
1.00,0.00,0.00,15102.00,0.00,UA,United Air Lines Inc.,SYD,LAX,6,889,2024,1
1.00,0.00,0.00,15536.00,1468.00,DL,Delta Air Lines Inc.,ICN,SEA,6,626,2024,1
1.00,0.00,0.00,15611.00,0.00,QT,Transportes Aereos Mercantiles Panamericanos S.A,LAX,BOG,6,696,2024,1
1.00,0.00,0.00,16247.00,0.00,M6,Amerijet International,GEO,MIA,6,626,2024,1
1.00,0.00,0.00,16780.00,0.00,N8,National Air Cargo Group Inc d/ba National Airlines,ATL,NRT,8,819,2024,1
1.00,0.00,0.00,16990.00,0.00,5X,United Parcel Service,YYC,SDF,6,622,2024,1
1.00,0.00,0.00,17400.00,0.00,FX,Federal Express Corporation,ANC,KIX,6,626,2024,1
1.00,0.00,0.00,18626.00,168.00,UA,United Air Lines Inc.,BRU,ORD,6,837,2024,1
1.00,0.00,0.00,20142.00,0.00,NC,Northern Air Cargo Inc.,GEO,MIA,6,626,2024,1
1.00,0.00,0.00,20258.00,0.00,2GQ,Cavok Air LLC,IAH,SDQ,5,507,2024,1
