DEPARTURES_PERFORMED,SEATS,PASSENGERS,FREIGHT,MAIL,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_GROUP,AIRCRAFT_TYPE,YEAR,MONTH,SEATS_PER_FLIGHT,AV_PASSENGERS_PER_FLIGHT
2.0,350.0,274.0,0.0,0.0,WN,Southwest Airlines Co.,MDW,MBJ,6,614,2024,1,175.0,137.0
2.0,350.0,296.0,0.0,0.0,WN,Southwest Airlines Co.,LIR,BWI,6,614,2024,1,175.0,148.0
2.0,350.0,300.0,0.0,0.0,WN,Southwest Airlines Co.,MDW,MBJ,6,838,2024,1,175.0,150.0
2.0,350.0,312.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,HOU,6,614,2024,1,175.0,156.0
2.0,350.0,314.0,247.0,0.0,WN,Southwest Airlines Co.,SJO,BWI,6,614,2024,1,175.0,157.0
2.0,350.0,316.0,241.0,0.0,WN,Southwest Airlines Co.,SJO,DEN,6,838,2024,1,175.0,158.0
2.0,350.0,335.0,0.0,0.0,WN,Southwest Airlines Co.,AUA,BWI,6,838,2024,1,175.0,167.5
3.0,429.0,352.0,0.0,0.0,WN,Southwest Airlines Co.,NAS,BWI,6,612,2024,1,143.0,117.33
3.0,429.0,361.0,0.0,0.0,WN,Southwest Airlines Co.,BWI,NAS,6,612,2024,1,143.0,120.33
3.0,525.0,375.0,0.0,0.0,WN,Southwest Airlines Co.,MBJ,HOU,6,838,2024,1,175.0,125.0
3.0,525.0,416.0,0.0,0.0,WN,Southwest Airlines Co.,LIR,DEN,6,838,2024,1,175.0,138.67
3.0,525.0,422.0,0.0,0.0,WN,Southwest Airlines Co.,HOU,MBJ,6,838,2024,1,175.0,140.67
3.0,525.0,435.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,IND,6,614,2024,1,175.0,145.0
3.0,525.0,435.0,290.0,0.0,WN,Southwest Airlines Co.,HOU,BZE,6,614,2024,1,175.0,145.0
3.0,525.0,439.0,0.0,0.0,WN,Southwest Airlines Co.,LIR,HOU,6,614,2024,1,175.0,146.33
3.0,525.0,441.0,0.0,0.0,WN,Southwest Airlines Co.,SJO,DEN,6,614,2024,1,175.0,147.0
3.0,525.0,452.0,0.0,0.0,WN,Southwest Airlines Co.,DEN,CUN,6,838,2024,1,175.0,150.67
3.0,525.0,452.0,263.0,0.0,WN,Southwest Airlines Co.,SJO,BWI,6,838,2024,1,175.0,150.67
3.0,525.0,453.0,25.0,0.0,WN,Southwest Airlines Co.,BZE,HOU,6,614,2024,1,175.0,151.0
3.0,525.0,458.0,0.0,0.0,WN,Southwest Airlines Co.,SJD,SMF,6,614,2024,1,175.0,152.67
3.0,525.0,460.0,0.0,0.0,WN,Southwest Airlines Co.,BNA,CUN,6,838,2024,1,175.0,153.33
3.0,525.0,474.0,0.0,0.0,WN,Southwest Airlines Co.,BWI,LIR,6,838,2024,1,175.0,158.0
3.0,525.0,479.0,0.0,0.0,WN,Southwest Airlines Co.,PUJ,MDW,6,838,2024,1,175.0,159.67
3.0,525.0,481.0,0.0,0.0,WN,Southwest Airlines Co.,MDW,PUJ,6,614,2024,1,175.0,160.33
3.0,525.0,493.0,0.0,0.0,WN,Southwest Airlines Co.,IND,CUN,6,614,2024,1,175.0,164.33
3.0,525.0,495.0,0.0,0.0,WN,Southwest Airlines Co.,DEN,LIR,6,838,2024,1,175.0,165.0
3.0,525.0,498.0,946.0,0.0,WN,Southwest Airlines Co.,BWI,SJO,6,838,2024,1,175.0,166.0
3.0,525.0,499.0,440.0,0.0,WN,Southwest Airlines Co.,BWI,SJO,6,614,2024,1,175.0,166.33
3.0,525.0,501.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,DEN,6,838,2024,1,175.0,167.0
4.0,572.0,324.0,0.0,0.0,WN,Southwest Airlines Co.,ATL,CUN,6,612,2024,1,143.0,81.0
4.0,572.0,350.0,0.0,0.0,WN,Southwest Airlines Co.,SAN,SJD,6,612,2024,1,143.0,87.5
4.0,572.0,361.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,ATL,6,612,2024,1,143.0,90.25
4.0,572.0,378.0,0.0,0.0,WN,Southwest Airlines Co.,SJD,MDW,6,612,2024,1,143.0,94.5
4.0,572.0,417.0,0.0,0.0,WN,Southwest Airlines Co.,SJD,SAN,6,612,2024,1,143.0,104.25
4.0,572.0,465.0,0.0,0.0,WN,Southwest Airlines Co.,LIR,DEN,6,612,2024,1,143.0,116.25
4.0,572.0,472.0,0.0,0.0,WN,Southwest Airlines Co.,SJD,OAK,6,612,2024,1,143.0,118.0
4.0,572.0,473.0,0.0,0.0,WN,Southwest Airlines Co.,BZE,DEN,6,612,2024,1,143.0,118.25
4.0,572.0,478.0,0.0,0.0,WN,Southwest Airlines Co.,DEN,LIR,6,612,2024,1,143.0,119.5
4.0,572.0,490.0,0.0,0.0,WN,Southwest Airlines Co.,MDW,SJD,6,612,2024,1,143.0,122.5
4.0,572.0,500.0,0.0,0.0,WN,Southwest Airlines Co.,OAK,SJD,6,612,2024,1,143.0,125.0
4.0,572.0,520.0,0.0,0.0,WN,Southwest Airlines Co.,LIR,BWI,6,612,2024,1,143.0,130.0
4.0,572.0,531.0,0.0,0.0,WN,Southwest Airlines Co.,DEN,BZE,6,612,2024,1,143.0,132.75
4.0,572.0,532.0,0.0,0.0,WN,Southwest Airlines Co.,BNA,CUN,6,612,2024,1,143.0,133.0
4.0,572.0,536.0,0.0,0.0,WN,Southwest Airlines Co.,BWI,LIR,6,612,2024,1,143.0,134.0
4.0,572.0,551.0,0.0,0.0,WN,Southwest Airlines Co.,PUJ,FLL,6,612,2024,1,143.0,137.75
4.0,572.0,553.0,0.0,0.0,WN,Southwest Airlines Co.,SJD,MCI,6,612,2024,1,143.0,138.25
4.0,572.0,556.0,0.0,0.0,WN,Southwest Airlines Co.,SJD,SMF,6,612,2024,1,143.0,139.0
4.0,572.0,561.0,0.0,0.0,WN,Southwest Airlines Co.,MCI,SJD,6,612,2024,1,143.0,140.25
